semantic_text,synonyms,flow_name,description,material_tags,unit,flow_type,category_path,cas_number,chemical_formula
Flow: Triaziquone | Type: Elementary Flow | Category: Elementary flows > Emission to soil > industrial | Unit: kg | CAS Number: 000068-76-8 | Materials: other,,Triaziquone,,other,kg,Elementary Flow,Elementary flows > Emission to soil > industrial,000068-76-8,
Flow: Dimethyl morpholinophosphoramidate | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density | Unit: kg | CAS Number: 000597-25-1 | Materials: other,,Dimethyl morpholinophosphoramidate,,other,kg,Elementary Flow,Elementary flows > Emission to air > low population density,000597-25-1,
Flow: N-[4-(5-Nitro-2-furyl)-2-thiazolyl]formamide | Type: Elementary Flow | Category: Elementary flows > Emission to water > unspecified | Unit: kg | CAS Number: 024554-26-5 | Materials: other,,N-[4-(5-Nitro-2-furyl)-2-thiazolyl]formamide,,other,kg,Elementary Flow,Elementary flows > Emission to water > unspecified,024554-26-5,
"Flow: 2,5-Xylidine hydrochloride | Type: Elementary Flow | Category: Elementary flows > Emission to air > high population density | Unit: kg | CAS Number: 051786-53-9 | Materials: other",,"2,5-Xylidine hydrochloride",,other,kg,Elementary Flow,Elementary flows > Emission to air > high population density,051786-53-9,
Flow: Acetone [4-(5-nitro-2-furyl)-2-thiazolyl]hydrazone | Type: Elementary Flow | Category: Elementary flows > Emission to air > lower stratosphere + upper troposphere | Unit: kg | CAS Number: 018523-69-8 | Materials: other,,Acetone [4-(5-nitro-2-furyl)-2-thiazolyl]hydrazone,,other,kg,Elementary Flow,Elementary flows > Emission to air > lower stratosphere + upper troposphere,018523-69-8,
"Flow: Hydrazine, 1-acetyl-2-phenyl- | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density | Unit: kg | CAS Number: 000114-83-0 | Materials: other",,"Hydrazine, 1-acetyl-2-phenyl-",,other,kg,Elementary Flow,Elementary flows > Emission to air > low population density,000114-83-0,
Flow: 2-Aminodiphenylene oxide | Type: Elementary Flow | Category: Elementary flows > Emission to soil > industrial | Unit: kg | CAS Number: 003693-22-9 | Materials: other,,2-Aminodiphenylene oxide,,other,kg,Elementary Flow,Elementary flows > Emission to soil > industrial,003693-22-9,
"Flow: 1-Phenyl-3,3-dimethyltriazene | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density, long-term | Unit: kg | CAS Number: 007227-91-0 | Materials: other",,"1-Phenyl-3,3-dimethyltriazene",,other,kg,Elementary Flow,"Elementary flows > Emission to air > low population density, long-term",007227-91-0,
Flow: CHLOROMETHYL METHYL ETHER | Type: Elementary Flow | Category: Elementary flows > Emission to water > lake | Unit: kg | CAS Number: 000107-30-2 | Materials: other,,CHLOROMETHYL METHYL ETHER,,other,kg,Elementary Flow,Elementary flows > Emission to water > lake,000107-30-2,
"Flow: Benzene, 3'-methyl-4-dimethylaminoazo- | Type: Elementary Flow | Category: Elementary flows > Emission to water > unspecified | Unit: kg | CAS Number: 000055-80-1 | Materials: other",,"Benzene, 3'-methyl-4-dimethylaminoazo-",,other,kg,Elementary Flow,Elementary flows > Emission to water > unspecified,000055-80-1,
"Flow: Propynyl, 1-(4-chlorophenyl)-1-phenyl-2- | Type: Elementary Flow | Category: Elementary flows > Emission to soil > agricultural | Unit: kg | Materials: other",,"Propynyl, 1-(4-chlorophenyl)-1-phenyl-2-",,other,kg,Elementary Flow,Elementary flows > Emission to soil > agricultural,,
