semantic_text,synonyms,flow_name,description,material_tags,unit,flow_type,category_path,cas_number,chemical_formula
"Flow: CUTOFF Citric Acid, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Citric Acid, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Sodium Methylate, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Sodium Methylate, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: Glycerin, at biodiesel plant | Type: Product Flow | Category: Manufacturing > Biofuels > Biodiesel | Unit: kg | Materials: biodiesel",,"Glycerin, at biodiesel plant",,biodiesel,kg,Product Flow,Manufacturing > Biofuels > Biodiesel,,
Flow: Fatty acids | Type: Elementary Flow | Category: Elementary flows > Emission to water > unspecified | Unit: kg | Materials: other,,Fatty acids,,other,kg,Elementary Flow,Elementary flows > Emission to water > unspecified,,
"Flow: CUTOFF Phosphoric Acid, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Phosphoric Acid, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: Soy biodiesel, production, at plant | Type: Product Flow | Category: Manufacturing > Biofuels > Biodiesel | Unit: kg | Materials: soy, biodiesel",,"Soy biodiesel, production, at plant",,"soy, biodiesel",kg,Product Flow,Manufacturing > Biofuels > Biodiesel,,
"Flow: CUTOFF Rubber and plastics hose and belting | Type: Product Flow | Category: Manufacturing > Plastics and Rubbers > Plastics and Rubbers CUTOFF flows | Unit: EUR 2000 | Materials: plastic, tin, rubber",,CUTOFF Rubber and plastics hose and belting,,"plastic, tin, rubber",EUR 2000,Product Flow,Manufacturing > Plastics and Rubbers > Plastics and Rubbers CUTOFF flows,,
Flow: CUTOFF Measuring and dispensing pumps | Type: Product Flow | Category: Manufacturing > Petroleum Products > Petroleum CUTOFF flows | Unit: EUR 2000 | Materials: other,,CUTOFF Measuring and dispensing pumps,,other,EUR 2000,Product Flow,Manufacturing > Petroleum Products > Petroleum CUTOFF flows,,
"Flow: Ethanol, 85%, blended, at service station, 2022 | Type: Product Flow | Category: Manufacturing > Biofuels > Ethanol | Unit: kg | Materials: ethanol",,"Ethanol, 85%, blended, at service station, 2022",,ethanol,kg,Product Flow,Manufacturing > Biofuels > Ethanol,,
"Flow: CUTOFF Liquid storage tank, chemicals, organics | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: Item(s) | Materials: other",,"CUTOFF Liquid storage tank, chemicals, organics",,other,Item(s),Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: Energy, output, from gasoline | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > others unmapped | Unit: MJ | Materials: other",,"Energy, output, from gasoline",,other,MJ,Elementary Flow,Elementary flows > Unmapped Elementary flows > others unmapped,,
"Flow: Ethanol, 85%, at blending terminal, 2022 | Type: Product Flow | Category: Manufacturing > Biofuels > Ethanol | Unit: kg | Materials: ethanol",,"Ethanol, 85%, at blending terminal, 2022",,ethanol,kg,Product Flow,Manufacturing > Biofuels > Ethanol,,
"Flow: Ethanol, denatured, mixed feedstocks, at conversion facility, 2022 | Type: Product Flow | Category: Manufacturing > Biofuels > Ethanol | Unit: kg | Materials: ethanol, feed",,"Ethanol, denatured, mixed feedstocks, at conversion facility, 2022",,"ethanol, feed",kg,Product Flow,Manufacturing > Biofuels > Ethanol,,
"Flow: Ethanol, denatured, at refueling station, 2022 | Type: Product Flow | Category: Manufacturing > Biofuels > Ethanol | Unit: kg | Materials: ethanol",,"Ethanol, denatured, at refueling station, 2022",,ethanol,kg,Product Flow,Manufacturing > Biofuels > Ethanol,,
"Flow: CUTOFF Expanded perlite, at plant | Type: Product Flow | Category: Manufacturing > Plastics and Rubbers > Plastics and Rubbers CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Expanded perlite, at plant",,other,kg,Product Flow,Manufacturing > Plastics and Rubbers > Plastics and Rubbers CUTOFF flows,,
Flow: Fly ash | Type: Elementary Flow | Category: Elementary flows > Waste > unspecified | Unit: kg | Materials: other,,Fly ash,,other,kg,Elementary Flow,Elementary flows > Waste > unspecified,,
"Flow: CUTOFF Disposal, non-sulfidic tailings, off-site | Type: Product Flow | Category: Waste Management and Remediation Services > Waste CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Disposal, non-sulfidic tailings, off-site",,other,kg,Product Flow,Waste Management and Remediation Services > Waste CUTOFF flows,,
"Flow: Hazardous waste, DK | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > final-waste-flow unmapped > unspecified unmapped | Unit: kg | Materials: other",,"Hazardous waste, DK",,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > final-waste-flow unmapped > unspecified unmapped,,
"Flow: CUTOFF Activated carbon, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: carbon",,"CUTOFF Activated carbon, at plant",,carbon,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Guar, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Guar, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Silicone product, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: silicon",,"CUTOFF Silicone product, at plant",,silicon,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
Flow: Waste in inert landfill | Type: Elementary Flow | Category: Elementary flows > Waste > unspecified | Unit: kg | Materials: other,,Waste in inert landfill,,other,kg,Elementary Flow,Elementary flows > Waste > unspecified,,
"Flow: CUTOFF Copper, at regional storage | Type: Product Flow | Category: Manufacturing > Metals > Metals CUTOFF flows | Unit: kg | Materials: copper",,"CUTOFF Copper, at regional storage",,copper,kg,Product Flow,Manufacturing > Metals > Metals CUTOFF flows,,
"Flow: Tailings, unspecified | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > final-waste-flow unmapped > unspecified unmapped | Unit: kg | Materials: other",,"Tailings, unspecified",,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > final-waste-flow unmapped > unspecified unmapped,,
"Flow: CUTOFF Biocides, for paper production, unspecified, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: paper",,"CUTOFF Biocides, for paper production, unspecified, at plant",,paper,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Sodium silicate, spray powder 80%, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Sodium silicate, spray powder 80%, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Disposal, hard coal ash, 0% water, to residual material landfill | Type: Product Flow | Category: Waste Management and Remediation Services > Waste CUTOFF flows | Unit: kg | Materials: water, coal",,"CUTOFF Disposal, hard coal ash, 0% water, to residual material landfill",,"water, coal",kg,Product Flow,Waste Management and Remediation Services > Waste CUTOFF flows,,
"Flow: CUTOFF Sodium perborate, monohydrate, powder, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Sodium perborate, monohydrate, powder, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Dipropylene glycol monomethyl ether, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Dipropylene glycol monomethyl ether, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Disposal, hazardous waste, 25% water, to hazardous waste incineration | Type: Product Flow | Category: Waste Management and Remediation Services > Waste CUTOFF flows | Unit: kg | Materials: water",,"CUTOFF Disposal, hazardous waste, 25% water, to hazardous waste incineration",,water,kg,Product Flow,Waste Management and Remediation Services > Waste CUTOFF flows,,
"Flow: CUTOFF Gravel, unspecified, at mine | Type: Product Flow | Category: Construction > Construction CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Gravel, unspecified, at mine",,other,kg,Product Flow,Construction > Construction CUTOFF flows,,
"Flow: CUTOFF Diethanolamine, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: ethanol",,"CUTOFF Diethanolamine, at plant",,ethanol,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: CUTOFF Process-specific burdens, residual material landfill | Type: Product Flow | Category: Waste Management and Remediation Services > Waste CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Process-specific burdens, residual material landfill",,other,kg,Product Flow,Waste Management and Remediation Services > Waste CUTOFF flows,,
"Flow: Oil, crude, 43.7 MJ per kg, in ground | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Resource unmapped > fossil- unmapped | Unit: kg | Materials: other",,"Oil, crude, 43.7 MJ per kg, in ground",,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Resource unmapped > fossil- unmapped,,
Flow: Cyclohexane | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > others unmapped | Unit: kg | Materials: other,,Cyclohexane,,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > others unmapped,,
"Flow: Aluminum compounds, unspecified | Type: Elementary Flow | Category: Elementary flows > Emission to air > unspecified | Unit: kg | Materials: aluminum",,"Aluminum compounds, unspecified",,aluminum,kg,Elementary Flow,Elementary flows > Emission to air > unspecified,,
Flow: Butene | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > others unmapped > unspecified unmapped | Unit: kg | Materials: other,,Butene,,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > others unmapped > unspecified unmapped,,
"Flow: Furans, unspecified | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > others unmapped > unspecified unmapped | Unit: kg | Materials: other",,"Furans, unspecified",,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > others unmapped > unspecified unmapped,,
"Flow: Polyol ether, for flexible foam polyurethane production, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: kg | Materials: other",,"Polyol ether, for flexible foam polyurethane production, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
"Flow: CUTOFF Carbon monoxide, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: carbon",,"CUTOFF Carbon monoxide, at plant",,carbon,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: Methylene diphenyl diisocyanate, resin, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: kg | Materials: other",,"Methylene diphenyl diisocyanate, resin, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
"Flow: Recovered energy, for ethylene glycol, CTR | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: MJ | Materials: other",,"Recovered energy, for ethylene glycol, CTR",,other,MJ,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
"Flow: CUTOFF Ethylene glycol, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Ethylene glycol, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: Carbon monoxide, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: kg | Materials: carbon",,"Carbon monoxide, at plant",,carbon,kg,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
Flow: Furans | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > Organic emissions to fresh water | Unit: kg | Materials: other,,Furans,,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > Organic emissions to fresh water,,
"Flow: CUTOFF Potassium hydroxide, production mix, at plant, for polyol foams | Type: Product Flow | Category: Manufacturing > Chemicals > Chemicals CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Potassium hydroxide, production mix, at plant, for polyol foams",,other,kg,Product Flow,Manufacturing > Chemicals > Chemicals CUTOFF flows,,
"Flow: Sugar beets, in ground | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > others unmapped | Unit: kg | Materials: sugar",,"Sugar beets, in ground",,sugar,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > others unmapped,,
"Flow: Polystyrene, general purpose, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: kg | Materials: other",,"Polystyrene, general purpose, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
"Flow: Ethylene dichloride-vinyl chloride monomer, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: kg | Materials: other",,"Ethylene dichloride-vinyl chloride monomer, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
"Flow: Paraxylene, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: kg | Materials: other",,"Paraxylene, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
"Flow: Butadiene, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: kg | Materials: other",,"Butadiene, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
"Flow: Recovered energy, for acrylonitrile | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: MJ | Materials: other",,"Recovered energy, for acrylonitrile",,other,MJ,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
"Flow: Acrylonitrile, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: kg | Materials: other",,"Acrylonitrile, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
"Flow: White mineral oil, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: kg | Materials: other",,"White mineral oil, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
Flow: Toluenediamine (TDA) | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to air unmapped - Gabi > Group NMVOC to air | Unit: kg | Materials: other,,Toluenediamine (TDA),,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to air unmapped - Gabi > Group NMVOC to air,,
Flow: Toluene diisocyanate (TDI) | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to air unmapped - Gabi > Group NMVOC to air | Unit: kg | Materials: other,,Toluene diisocyanate (TDI),,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to air unmapped - Gabi > Group NMVOC to air,,
"Flow: Toluene diisocyanate, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Petrochemical Manufacturing | Unit: kg | Materials: other",,"Toluene diisocyanate, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Petrochemical Manufacturing,,
"Flow: CUTOFF Disposal, solid waste to incineration without energy recovery | Type: Product Flow | Category: Waste Management and Remediation Services > Waste CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Disposal, solid waste to incineration without energy recovery",,other,kg,Product Flow,Waste Management and Remediation Services > Waste CUTOFF flows,,
"Flow: CUTOFF Disposal, solid waste to incineration with energy recovery | Type: Product Flow | Category: Waste Management and Remediation Services > Waste CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Disposal, solid waste to incineration with energy recovery",,other,kg,Product Flow,Waste Management and Remediation Services > Waste CUTOFF flows,,
"Flow: CUTOFF Disposal, solid waste to sanitary landfill | Type: Product Flow | Category: Waste Management and Remediation Services > Waste CUTOFF flows | Unit: kg | Materials: other",,"CUTOFF Disposal, solid waste to sanitary landfill",,other,kg,Product Flow,Waste Management and Remediation Services > Waste CUTOFF flows,,
"Flow: HFCs and HCFCs, unspecified | Type: Elementary Flow | Category: Elementary flows > Emission to air > unspecified | Unit: kg | Materials: other",,"HFCs and HCFCs, unspecified",,other,kg,Elementary Flow,Elementary flows > Emission to air > unspecified,,
"Flow: EPS insulation board, at plant | Type: Product Flow | Category: Manufacturing > Chemicals > Unspecified | Unit: kg | Materials: other",,"EPS insulation board, at plant",,other,kg,Product Flow,Manufacturing > Chemicals > Unspecified,,
Flow: Propylene glycol | Type: Elementary Flow | Category: Elementary flows > Emission to air > unspecified | Unit: kg | Materials: other,,Propylene glycol,,other,kg,Elementary Flow,Elementary flows > Emission to air > unspecified,,
"Flow: Wood, unspecified, standing/kg | Type: Elementary Flow | Category: Elementary flows > Resource > biotic | Unit: kg | Materials: wood",,"Wood, unspecified, standing/kg",,wood,kg,Elementary Flow,Elementary flows > Resource > biotic,,
Flow: Bromoxynil | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | Materials: other,,Bromoxynil,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,,
"Flow: Calcium sulphate, in ground | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Resources unmapped - Gabi > Non renewable resources - Gabi | Unit: kg | Materials: other",,"Calcium sulphate, in ground",,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Resources unmapped - Gabi > Non renewable resources - Gabi,,
"Flow: Bromine | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density, long-term | Unit: kg | Materials: other",,Bromine,,other,kg,Elementary Flow,"Elementary flows > Emission to air > low population density, long-term",,
Flow: Isoxaflutole | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | Materials: other,,Isoxaflutole,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,,
"Flow: Occupation, arable, reduced tillage | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Resource unmapped | Unit: m2 | Materials: other",,"Occupation, arable, reduced tillage",,other,m2,Elementary Flow,Elementary flows > Unmapped Elementary flows > Resource unmapped,,
Flow: Fipronil | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | Materials: other,,Fipronil,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,,
"Flow: Hydrogen fluoride | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density, long-term | Unit: kg | Materials: other",,Hydrogen fluoride,,other,kg,Elementary Flow,"Elementary flows > Emission to air > low population density, long-term",,
"Flow: Cobalt compounds, unspecified | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to air unmapped - Gabi > Heavy metals to air | Unit: kg | Materials: cobalt",,"Cobalt compounds, unspecified",,cobalt,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to air unmapped - Gabi > Heavy metals to air,,
"Flow: Coal, metallurgical, in ground | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Resources unmapped - Gabi > Non renewable resources - Gabi | Unit: kg | Materials: coal",,"Coal, metallurgical, in ground",,coal,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Resources unmapped - Gabi > Non renewable resources - Gabi,,
Flow: Chromium VI | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water | Unit: kg | Materials: chromium,,Chromium VI,,chromium,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water,,
Flow: Terbufos | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | Materials: other,,Terbufos,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,,
Flow: Prosulfuron | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | Materials: other,,Prosulfuron,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,,
"Flow: Ammonium, ion | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water | Unit: kg | Materials: other",,"Ammonium, ion",,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water,,
Flow: Simazine | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | Materials: other,,Simazine,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,,
Flow: Permethrin | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | Materials: other,,Permethrin,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,,
"Flow: Lead compounds, unspecified | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density, long-term | Unit: kg | Materials: lead",,"Lead compounds, unspecified",,lead,kg,Elementary Flow,"Elementary flows > Emission to air > low population density, long-term",,
Flow: Molybdenum | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water | Unit: kg | Materials: other,,Molybdenum,,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water,,
Flow: Rimsulfuron | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | Materials: other,,Rimsulfuron,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,,
"Flow: NMVOC, non-methane volatile organic compounds, unspecified origin | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density, long-term | Unit: kg | Materials: other",,"NMVOC, non-methane volatile organic compounds, unspecified origin",,other,kg,Elementary Flow,"Elementary flows > Emission to air > low population density, long-term",,
"Flow: Chromium III | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > water unmapped > low population density, long-term unmapped | Unit: kg | Materials: chromium",,Chromium III,,chromium,kg,Elementary Flow,"Elementary flows > Unmapped Elementary flows > water unmapped > low population density, long-term unmapped",,
Flow: Dimethenamid | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | Materials: other,,Dimethenamid,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,,
Flow: Fluoride | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water | Unit: kg | Materials: other,,Fluoride,,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water,,
"Flow: Carbon disulfide | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density, long-term | Unit: kg | Materials: carbon",,Carbon disulfide,,carbon,kg,Elementary Flow,"Elementary flows > Emission to air > low population density, long-term",,
"Flow: Iron compounds, unspecified | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water | Unit: kg | Materials: iron",,"Iron compounds, unspecified",,iron,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water,,
"Flow: Phosphate as P2O5, phosphate rock, in ground | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Resources unmapped - Gabi > Non renewable resources - Gabi | Unit: kg | Materials: other",,"Phosphate as P2O5, phosphate rock, in ground",,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Resources unmapped - Gabi > Non renewable resources - Gabi,,
"Flow: Ethene | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density, long-term | Unit: kg | Materials: other",,Ethene,,other,kg,Elementary Flow,"Elementary flows > Emission to air > low population density, long-term",,
Flow: Imazapyr | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | Materials: other,,Imazapyr,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,,
"Flow: Gas, natural, in ground | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Resource unmapped > in ground unmapped | Unit: kg | Materials: other",,"Gas, natural, in ground",,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Resource unmapped > in ground unmapped,,
"Flow: Aluminum compounds, unspecified | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water | Unit: kg | Materials: aluminum",,"Aluminum compounds, unspecified",,aluminum,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water,,
Flow: Foramsulfuron | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Emission to Soil unmapped > unspecified unmapped | Unit: kg | Materials: other | Description: taken from simapro methods,,Foramsulfuron,taken from simapro methods,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Emission to Soil unmapped > unspecified unmapped,,
"Flow: Chlorate | Type: Elementary Flow | Category: Elementary flows > Emission to water > ground water, long-term | Unit: kg | Materials: other",,Chlorate,,other,kg,Elementary Flow,"Elementary flows > Emission to water > ground water, long-term",,
"Flow: Carbonate | Type: Elementary Flow | Category: Elementary flows > Emission to water > ground water, long-term | Unit: kg | Materials: carbon",,Carbonate,,carbon,kg,Elementary Flow,"Elementary flows > Emission to water > ground water, long-term",,
Flow: Sulfate | Type: Elementary Flow | Category: Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water | Unit: kg | Materials: other,,Sulfate,,other,kg,Elementary Flow,Elementary flows > Unmapped Elementary flows > Gabi flows > Mapped flows > Emissions unmapped - Gabi > Emissions to water unmapped - Gabi > ecoinvent long-term to fresh water,,
"Flow: Sulfuric acid | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density, long-term | Unit: kg | Materials: other",,Sulfuric acid,,other,kg,Elementary Flow,"Elementary flows > Emission to air > low population density, long-term",,
